SourceFile,FileName,GPSLatitude,GPSLongitude,GPSLatitudeRef,GPSLongitudeRef,DateTimeOriginal
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0121.MP4,IMG_0121.MP4,"64 deg 0' 19.08"" N","22 deg 33' 24.12"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7632.HEIC,IMG_7632.HEIC,"37 deg 31' 59.41"" N","77 deg 26' 1.16"" W",North,West,2026:03:31 14:55:31
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7633.HEIC,IMG_7633.HEIC,"37 deg 30' 29.09"" N","77 deg 20' 1.79"" W",North,West,2026:03:31 15:46:28
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7649.HEIC,IMG_7649.HEIC,"63 deg 58' 23.59"" N","22 deg 35' 16.33"" W",North,West,2026:04:01 09:04:26
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7655.HEIC,IMG_7655.HEIC,"64 deg 8' 31.88"" N","21 deg 55' 43.66"" W",North,West,2026:04:01 22:03:10
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7656.HEIC,IMG_7656.HEIC,"64 deg 8' 31.88"" N","21 deg 55' 43.60"" W",North,West,2026:04:01 22:03:15
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7657.HEIC,IMG_7657.HEIC,"64 deg 8' 31.88"" N","21 deg 55' 43.60"" W",North,West,2026:04:01 22:03:16
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7661.HEIC,IMG_7661.HEIC,"64 deg 8' 31.99"" N","21 deg 55' 41.59"" W",North,West,2026:04:01 22:03:57
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7664.HEIC,IMG_7664.HEIC,"64 deg 8' 32.76"" N","21 deg 55' 40.52"" W",North,West,2026:04:01 22:04:26
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7665.HEIC,IMG_7665.HEIC,"64 deg 8' 32.92"" N","21 deg 55' 40.03"" W",North,West,2026:04:01 22:04:44
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7666.HEIC,IMG_7666.HEIC,"64 deg 8' 32.92"" N","21 deg 55' 40.02"" W",North,West,2026:04:01 22:04:48
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7667.HEIC,IMG_7667.HEIC,"64 deg 8' 32.92"" N","21 deg 55' 39.97"" W",North,West,2026:04:01 22:04:53
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7668.HEIC,IMG_7668.HEIC,"64 deg 8' 41.44"" N","21 deg 55' 30.33"" W",North,West,2026:04:01 22:08:46
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7669.HEIC,IMG_7669.HEIC,"64 deg 8' 41.44"" N","21 deg 55' 30.33"" W",North,West,2026:04:01 22:08:47
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7670.HEIC,IMG_7670.HEIC,"64 deg 8' 43.53"" N","21 deg 55' 38.44"" W",North,West,2026:04:01 22:13:57
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7685.HEIC,IMG_7685.HEIC,"64 deg 8' 32.98"" N","21 deg 55' 42.21"" W",North,West,2026:04:02 12:18:59
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7686.HEIC,IMG_7686.HEIC,"64 deg 8' 32.70"" N","21 deg 55' 40.64"" W",North,West,2026:04:02 12:30:12
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7687.HEIC,IMG_7687.HEIC,,,,,2026:04:02 12:47:19
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7689.HEIC,IMG_7689.HEIC,"64 deg 8' 32.73"" N","21 deg 55' 41.32"" W",North,West,2026:04:02 13:55:11
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7690.HEIC,IMG_7690.HEIC,"64 deg 8' 32.81"" N","21 deg 55' 40.61"" W",North,West,2026:04:02 13:56:50
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7691.HEIC,IMG_7691.HEIC,"64 deg 8' 44.76"" N","21 deg 55' 45.19"" W",North,West,2026:04:02 14:16:15
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7692.HEIC,IMG_7692.HEIC,"64 deg 8' 44.65"" N","21 deg 55' 45.48"" W",North,West,2026:04:02 14:16:17
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7693.HEIC,IMG_7693.HEIC,"64 deg 8' 44.73"" N","21 deg 55' 45.24"" W",North,West,2026:04:02 14:16:20
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_7694.HEIC,IMG_7694.HEIC,"64 deg 8' 44.95"" N","21 deg 55' 49.34"" W",North,West,2026:04:02 14:18:22
